timestamp,provider,model,technique,latency_ms,input_tokens_est,context_tokens_est,total_est,prompt_tokens_actual,completion_tokens_actual,total_tokens_actual,retry_count,backoff_ms_total,overflow_handled,cost_estimate_usd,notes
2025-12-21T22:45:12.003936,google,gemini-2.0-flash-exp,hello_world,957,24,0,27,16,5,21,0,0,False,N/A,
2025-12-21T22:51:02.065913,google,gemini-2.0-flash-exp,hello_world,1118,24,0,27,16,5,21,0,0,False,N/A,
2025-12-21T22:51:12.939755,google,gemini-2.0-flash-exp,hello_world,1005,24,0,27,16,5,21,0,0,False,N/A,
2025-12-21T22:51:13.879647,groq,llama-3.1-8b-instant,hello_world,920,24,0,27,51,5,56,0,0,False,~$0.000003,
2025-12-21T22:53:07.112068,google,gemini-2.0-flash-exp,hello_world,1175,24,0,27,16,5,21,0,0,False,N/A,
2025-12-21T22:53:07.839895,groq,llama-3.1-8b-instant,hello_world,705,24,0,27,51,5,56,0,0,False,~$0.000003,
2025-12-21T23:16:04.956819,openai,gemini-2.0-flash-exp,temp_sweep_0.0,1365,24,0,27,17,30,47,0,0,False,N/A,
2025-12-21T23:16:05.737841,openai,gemini-2.0-flash-exp,temp_sweep_0.5,778,24,0,27,17,29,46,0,0,False,N/A,
2025-12-21T23:16:06.541175,openai,gemini-2.0-flash-exp,temp_sweep_1.0,800,24,0,27,17,38,55,0,0,False,N/A,
2025-12-21T23:16:07.362470,openai,gemini-2.0-flash-exp,temp_sweep_1.5,817,24,0,27,17,24,41,0,0,False,N/A,
2025-12-21T23:16:49.582602,openai,gemini-2.0-flash-exp,unstructured,1624,223,0,226,234,82,316,0,0,False,N/A,
2025-12-21T23:16:50.560128,openai,gemini-2.0-flash-exp,skeleton,966,264,0,267,278,66,344,0,0,False,N/A,
2025-12-21T23:16:54.088416,openai,gemini-2.0-flash-exp,zero_shot_classify,549,79,0,82,81,2,83,0,0,False,N/A,
2025-12-21T23:19:56.646148,openai,gemini-2.0-flash-exp,zero_shot,1294,52,0,55,49,2,51,0,0,False,N/A,
2025-12-21T23:20:26.326481,openai,gemini-2.0-flash-exp,few_shot,1198,313,0,316,351,36,387,0,0,False,N/A,
2025-12-21T23:29:46.717236,openai,gemini-2.0-flash-exp,zero_shot,1122,52,0,55,49,2,51,0,0,False,N/A,
2025-12-21T23:29:47.582808,openai,gemini-2.0-flash-exp,few_shot,852,313,0,316,351,36,387,0,0,False,N/A,
2025-12-21T23:35:16.993687,openai,gemini-2.0-flash-exp,zero_shot,1163,52,0,55,49,2,51,0,0,False,N/A,
2025-12-21T23:35:17.829666,openai,gemini-2.0-flash-exp,few_shot,821,313,0,316,351,32,383,0,0,False,N/A,
2025-12-21T23:35:26.215847,openai,gemini-3-pro-preview,cot,8300,246,0,249,265,,265,0,0,False,N/A,
2025-12-21T23:36:02.644446,openai,gemini-2.0-flash-exp,zero_shot,1086,52,0,55,49,2,51,0,0,False,N/A,
2025-12-21T23:36:03.460758,openai,gemini-2.0-flash-exp,few_shot,799,313,0,316,351,45,396,0,0,False,N/A,
2025-12-21T23:36:11.651443,openai,gemini-3-pro-preview,cot,8127,246,0,249,265,,265,0,0,False,N/A,
2025-12-21T23:36:19.966268,google,gemini-3-pro-preview,cot,8252,246,0,249,265,,265,0,0,False,N/A,
2025-12-21T23:36:29.732416,openai,gemini-3-pro-preview,tot,9748,76,0,79,76,,76,0,0,False,N/A,
2025-12-21T23:37:49.550252,openai,gemini-2.0-flash-exp,zero_shot,1150,52,0,55,49,2,51,0,0,False,N/A,
2025-12-21T23:37:50.395103,openai,gemini-2.0-flash-exp,few_shot,829,313,0,316,351,35,386,0,0,False,N/A,
2025-12-21T23:37:59.103272,openai,gemini-3-pro-preview,cot,8644,246,0,249,265,,265,0,0,False,N/A,
2025-12-21T23:38:07.392771,google,gemini-3-pro-preview,cot,8226,246,0,249,265,,265,0,0,False,N/A,
2025-12-21T23:38:17.771395,openai,gemini-3-pro-preview,tot,10357,76,0,79,76,,76,0,0,False,N/A,
2025-12-21T23:45:59.644074,openai,gemini-2.0-flash-exp,zero_shot,1187,52,0,55,49,2,51,0,0,False,N/A,
2025-12-21T23:46:00.510092,openai,gemini-2.0-flash-exp,few_shot,853,313,0,316,351,45,396,0,0,False,N/A,
2025-12-21T23:46:08.873903,openai,gemini-3-pro-preview,cot,8302,246,0,249,265,,265,0,0,False,N/A,
2025-12-21T23:46:17.110124,google,gemini-3-pro-preview,cot,8170,246,0,249,265,,265,0,0,False,N/A,
2025-12-21T23:46:28.000743,openai,gemini-3-pro-preview,tot,10875,76,0,79,76,,76,0,0,False,N/A,
2025-12-22T00:08:55.732067,google,gemini-3-pro-preview,cot,8546,246,0,249,265,,265,0,0,False,N/A,
2025-12-22T00:09:32.794935,google,gemini-3-pro-preview,cot,8616,246,0,249,265,,265,0,0,False,N/A,
2025-12-22T00:09:50.053082,openai,gemini-2.0-flash-exp,zero_shot,1160,52,0,55,49,2,51,0,0,False,N/A,
2025-12-22T00:09:51.016401,openai,gemini-2.0-flash-exp,few_shot,950,313,0,316,351,54,405,0,0,False,N/A,
2025-12-22T00:09:59.592056,openai,gemini-3-pro-preview,cot,8493,246,0,249,265,,265,0,0,False,N/A,
2025-12-22T00:10:08.104093,google,gemini-3-pro-preview,cot,8433,246,0,249,265,,265,0,0,False,N/A,
2025-12-22T00:10:18.442579,openai,gemini-3-pro-preview,tot,10320,76,0,79,76,,76,0,0,False,N/A,
2025-12-22T00:17:03.932342,openai,gemini-2.0-flash-exp,zero_shot,1191,52,0,55,49,2,51,0,0,False,N/A,
2025-12-22T00:17:04.734000,openai,gemini-2.0-flash-exp,few_shot,789,313,0,316,351,39,390,0,0,False,N/A,
2025-12-22T00:17:13.140272,openai,gemini-3-pro-preview,cot,8342,246,0,249,265,,265,0,0,False,N/A,
2025-12-22T00:17:21.336251,google,gemini-3-pro-preview,cot,8132,246,0,249,265,,265,0,0,False,N/A,
2025-12-22T00:17:32.519326,openai,gemini-3-pro-preview,tot,11164,76,0,79,76,,76,0,0,False,N/A,
2025-12-22T00:20:58.141628,openai,gemini-2.0-flash-exp,zero_shot,1164,52,0,55,49,2,51,0,0,False,N/A,
2025-12-22T00:20:59.054402,openai,gemini-2.0-flash-exp,few_shot,900,313,0,316,351,54,405,0,0,False,N/A,
2025-12-22T00:21:07.322212,openai,gemini-3-pro-preview,cot,8203,246,0,249,265,,265,0,0,False,N/A,
2025-12-22T00:21:15.711295,google,gemini-3-pro-preview,cot,8325,246,0,249,265,,265,0,0,False,N/A,
2025-12-22T00:21:26.227082,openai,gemini-3-pro-preview,tot,10505,76,0,79,76,,76,0,0,False,N/A,
2025-12-22T00:34:34.011513,openai,gemini-2.0-flash-exp,zero_shot,1113,52,0,55,49,2,51,0,0,False,N/A,
2025-12-22T00:34:34.820149,openai,gemini-2.0-flash-exp,few_shot,796,313,0,316,351,45,396,0,0,False,N/A,
2025-12-22T00:34:48.869988,openai,gemini-3-pro-preview,cot,13967,246,0,249,265,269,534,0,0,False,N/A,
2025-12-22T00:35:02.587183,google,gemini-3-pro-preview,cot,13651,246,0,249,265,311,576,0,0,False,N/A,
2025-12-22T00:35:46.037908,openai,gemini-3-pro-preview,tot,43435,76,0,79,76,,76,0,0,False,N/A,
2026-01-04T22:00:58.690833,google,gemini-2.5-flash-lite,few_shot,4658,852,0,855,862,770,1632,0,0,False,N/A,
2026-01-04T22:01:02.486444,google,gemini-2.5-flash-lite,few_shot,3793,852,0,855,862,770,1632,0,0,False,N/A,
2026-01-04T22:01:07.009213,google,gemini-2.5-flash-lite,few_shot,4520,852,0,855,862,770,1632,0,0,False,N/A,
2026-01-04T22:01:11.655346,google,gemini-2.5-flash-lite,few_shot,4643,852,0,855,862,770,1632,0,0,False,N/A,
2026-01-04T22:01:16.427753,google,gemini-2.5-flash-lite,few_shot,4770,852,0,855,862,770,1632,0,0,False,N/A,
2026-01-04T22:01:20.336818,google,gemini-2.5-flash-lite,few_shot,3907,852,0,855,862,770,1632,0,0,False,N/A,
2026-01-04T22:01:24.666003,google,gemini-2.5-flash-lite,few_shot,4327,852,0,855,862,770,1632,0,0,False,N/A,
2026-01-04T22:01:27.018795,google,gemini-2.5-flash-lite,few_shot,2350,852,0,855,862,770,1632,0,0,False,N/A,
2026-01-04T22:01:31.129941,google,gemini-2.5-flash-lite,few_shot,4108,852,0,855,862,770,1632,0,0,False,N/A,
2026-01-04T22:01:33.889835,google,gemini-2.5-flash-lite,few_shot,2757,852,0,855,862,770,1632,0,0,False,N/A,
2026-01-04T22:01:38.396177,google,gemini-2.5-flash-lite,few_shot,4504,852,0,855,862,770,1632,0,0,False,N/A,
2026-01-04T22:01:43.027721,google,gemini-2.5-flash-lite,few_shot,4629,852,0,855,862,770,1632,0,0,False,N/A,
2026-01-04T22:07:03.254633,google,gemini-2.5-flash-lite,few_shot,4851,865,0,868,875,807,1682,0,0,False,N/A,
2026-01-04T22:07:07.785662,google,gemini-2.5-flash-lite,few_shot,4527,865,0,868,875,807,1682,0,0,False,N/A,
2026-01-04T22:16:56.938381,groq,llama-3.1-8b-instant,few_shot,3326,838,0,841,877,2117,2994,0,0,False,~$0.000213,
2026-01-04T22:17:00.129172,groq,llama-3.1-8b-instant,few_shot,3186,838,0,841,877,2117,2994,0,0,False,~$0.000213,
2026-01-04T22:17:12.593454,groq,llama-3.1-8b-instant,few_shot,12460,838,0,841,877,2117,2994,0,0,False,~$0.000213,
2026-01-04T22:18:39.247411,groq,llama-3.1-8b-instant,few_shot,3620,838,0,841,877,2205,3082,0,0,False,~$0.000220,
2026-01-04T22:18:43.072812,groq,llama-3.1-8b-instant,few_shot,3821,838,0,841,877,2117,2994,0,0,False,~$0.000213,
2026-01-04T22:18:49.727758,groq,llama-3.1-8b-instant,few_shot,6651,838,0,841,877,2117,2994,0,0,False,~$0.000213,
2026-01-04T22:19:58.256767,groq,llama-3.1-8b-instant,few_shot,2199,846,0,849,885,1583,2468,0,0,False,~$0.000171,
2026-01-04T22:20:01.346174,groq,llama-3.1-8b-instant,few_shot,3085,846,0,849,885,2320,3205,0,0,False,~$0.000230,
2026-01-04T22:20:05.775673,groq,llama-3.1-8b-instant,few_shot,4425,846,0,849,885,2320,3205,0,0,False,~$0.000230,
2026-01-04T22:20:58.567609,groq,llama-3.1-8b-instant,few_shot,3600,846,0,849,885,2320,3205,0,0,False,~$0.000230,
2026-01-04T22:21:01.092435,groq,llama-3.1-8b-instant,few_shot,2520,846,0,849,885,1583,2468,0,0,False,~$0.000171,
2026-01-04T22:30:31.659933,groq,llama-3.1-8b-instant,few_shot,998,879,0,882,920,381,1301,0,0,False,~$0.000076,
2026-01-04T22:30:32.787366,groq,llama-3.1-8b-instant,few_shot,1122,879,0,882,920,381,1301,0,0,False,~$0.000076,
2026-01-04T22:30:33.739480,groq,llama-3.1-8b-instant,few_shot,947,879,0,882,920,381,1301,0,0,False,~$0.000076,
2026-01-04T22:30:34.620199,groq,llama-3.1-8b-instant,few_shot,876,879,0,882,920,381,1301,0,0,False,~$0.000076,
2026-01-04T22:30:35.490264,groq,llama-3.1-8b-instant,few_shot,865,879,0,882,920,381,1301,0,0,False,~$0.000076,
2026-01-04T22:30:36.457397,groq,llama-3.1-8b-instant,few_shot,963,879,0,882,920,381,1301,0,0,False,~$0.000076,
2026-01-04T22:33:06.192960,groq,llama-3.1-8b-instant,few_shot,493,893,0,896,934,23,957,0,0,False,~$0.000049,
2026-01-04T22:33:06.558718,groq,llama-3.1-8b-instant,few_shot,361,893,0,896,934,23,957,0,0,False,~$0.000049,
2026-01-04T22:33:06.913016,groq,llama-3.1-8b-instant,few_shot,350,893,0,896,934,23,957,0,0,False,~$0.000049,
2026-01-04T22:33:07.232829,groq,llama-3.1-8b-instant,few_shot,315,893,0,896,934,23,957,0,0,False,~$0.000049,
2026-01-04T22:33:07.639410,groq,llama-3.1-8b-instant,few_shot,402,893,0,896,934,23,957,0,0,False,~$0.000049,
2026-01-04T22:33:07.910758,groq,llama-3.1-8b-instant,few_shot,266,893,0,896,934,23,957,0,0,False,~$0.000049,
2026-01-04T22:33:08.354035,groq,llama-3.1-8b-instant,few_shot,439,893,0,896,934,23,957,0,0,False,~$0.000049,
2026-01-04T22:35:35.323179,groq,llama-3.1-8b-instant,few_shot,456,893,0,896,934,23,957,0,0,False,~$0.000049,
2026-01-04T22:35:35.682890,groq,llama-3.1-8b-instant,few_shot,355,893,0,896,934,23,957,0,0,False,~$0.000049,
2026-01-04T22:35:36.052811,groq,llama-3.1-8b-instant,few_shot,365,893,0,896,934,23,957,0,0,False,~$0.000049,
2026-01-04T22:35:36.410766,groq,llama-3.1-8b-instant,few_shot,354,893,0,896,934,23,957,0,0,False,~$0.000049,
2026-01-04T22:35:36.695284,groq,llama-3.1-8b-instant,few_shot,280,893,0,896,934,23,957,0,0,False,~$0.000049,
2026-01-04T22:35:37.026105,groq,llama-3.1-8b-instant,few_shot,326,893,0,896,934,23,957,0,0,False,~$0.000049,
2026-01-04T22:35:37.361057,groq,llama-3.1-8b-instant,few_shot,330,893,0,896,934,23,957,0,0,False,~$0.000049,
